claim_id,policy_id,claim_amount_requested,claim_amount_settled,settlement_time_days,claim_status,is_fraudulent
CLM-10001,POL-10001,4263.25,4186.27,24,Approved,0
CLM-10002,POL-10003,4726.51,2867.99,1,Approved,0
CLM-10003,POL-10004,2364.98,2058.7,14,Approved,0
CLM-10004,POL-10007,4896.81,0.0,23,Pending,0
CLM-10005,POL-10007,4652.85,3862.01,30,Approved,0
CLM-10006,POL-10007,834.48,603.38,39,Approved,0
CLM-10007,POL-10008,4998.37,4551.68,18,Approved,0
CLM-10008,POL-10009,2628.3,1707.6,46,Approved,0
CLM-10009,POL-10009,1587.36,1583.19,29,Approved,0
CLM-10010,POL-10009,2814.98,2637.12,19,Approved,0
CLM-10011,POL-10010,4614.93,3139.34,22,Approved,0
CLM-10012,POL-10011,1984.19,1576.3,19,Approved,0
CLM-10013,POL-10012,1718.85,0.0,1,Pending,0
CLM-10014,POL-10013,1603.24,0.0,15,Rejected,0
CLM-10015,POL-10015,1492.95,1166.19,1,Approved,0
CLM-10016,POL-10016,3181.73,0.0,2,Rejected,0
CLM-10017,POL-10018,670.04,0.0,30,Rejected,0
CLM-10018,POL-10019,507.24,0.0,36,Rejected,0
CLM-10019,POL-10019,4418.59,3151.23,34,Approved,0
CLM-10020,POL-10019,1899.03,1858.95,1,Approved,0
CLM-10021,POL-10020,1896.64,1252.26,4,Approved,0
CLM-10022,POL-10021,3517.6,3380.44,14,Approved,0
CLM-10023,POL-10022,4468.8,3826.46,30,Approved,0
CLM-10024,POL-10022,4290.96,2926.87,14,Approved,0
CLM-10025,POL-10022,1556.03,0.0,4,Pending,0
CLM-10026,POL-10024,1292.81,780.35,33,Approved,0
CLM-10027,POL-10025,3807.02,3319.65,22,Approved,0
CLM-10028,POL-10025,2899.51,2724.82,25,Approved,0
CLM-10029,POL-10025,1076.98,915.14,7,Approved,0
CLM-10030,POL-10028,1932.58,1732.2,4,Approved,0
CLM-10031,POL-10028,510.3,324.77,13,Approved,0
CLM-10032,POL-10030,4732.08,2997.6,8,Approved,0
CLM-10033,POL-10031,4722.39,0.0,17,Pending,0
CLM-10034,POL-10032,3255.89,2654.45,33,Approved,0
CLM-10035,POL-10033,986.36,727.63,35,Approved,0
CLM-10036,POL-10034,2679.49,1695.48,6,Approved,0
CLM-10037,POL-10035,3621.86,2820.44,8,Approved,0
CLM-10038,POL-10037,3832.86,3522.44,32,Approved,0
CLM-10039,POL-10038,3790.72,3513.92,12,Approved,0
CLM-10040,POL-10038,4702.48,4063.25,33,Approved,0
CLM-10041,POL-10039,973.18,745.22,33,Approved,0
CLM-10042,POL-10040,4981.75,3498.88,16,Approved,0
CLM-10043,POL-10041,4776.63,3519.54,22,Approved,0
CLM-10044,POL-10042,14610.51,0.0,60,Rejected,1
CLM-10045,POL-10044,2699.23,1655.98,6,Approved,0
CLM-10046,POL-10049,4636.18,4388.6,7,Approved,0
CLM-10047,POL-10049,3412.02,0.0,31,Pending,0
CLM-10048,POL-10051,4899.13,4620.66,4,Approved,0
CLM-10049,POL-10052,3591.12,3381.54,33,Approved,0
CLM-10050,POL-10053,4438.72,4310.85,7,Approved,0
CLM-10051,POL-10053,4922.61,4068.17,15,Approved,0
CLM-10052,POL-10054,1028.76,693.39,18,Approved,0
CLM-10053,POL-10056,4966.23,0.0,26,Rejected,0
CLM-10054,POL-10057,3116.88,2448.71,7,Approved,0
CLM-10055,POL-10057,1689.9,1424.76,24,Approved,0
CLM-10056,POL-10058,1156.8,971.78,30,Approved,0
CLM-10057,POL-10059,3442.59,2504.18,14,Approved,0
CLM-10058,POL-10061,3236.17,2374.58,1,Approved,0
CLM-10059,POL-10062,2935.34,2014.7,1,Approved,0
CLM-10060,POL-10069,452.91,0.0,43,Rejected,0
CLM-10061,POL-10070,1250.16,1072.14,4,Approved,0
CLM-10062,POL-10070,2038.45,1456.28,1,Approved,0
CLM-10063,POL-10071,3467.3,3025.98,18,Approved,0
CLM-10064,POL-10073,4333.6,2650.53,33,Approved,0
CLM-10065,POL-10073,1823.36,1125.79,33,Approved,0
CLM-10066,POL-10074,1523.53,1446.98,18,Approved,0
CLM-10067,POL-10076,1660.6,1215.61,1,Approved,0
CLM-10068,POL-10076,3423.89,2882.13,5,Approved,0
CLM-10069,POL-10078,1040.24,0.0,48,Pending,0
CLM-10070,POL-10078,4794.85,0.0,21,Pending,0
CLM-10071,POL-10079,4122.39,2620.61,53,Approved,0
CLM-10072,POL-10079,4902.51,0.0,1,Pending,0
CLM-10073,POL-10079,2879.39,0.0,44,Rejected,0
CLM-10074,POL-10082,3631.63,2255.59,46,Approved,0
CLM-10075,POL-10083,931.58,802.52,1,Approved,0
CLM-10076,POL-10087,668.9,426.65,24,Approved,0
CLM-10077,POL-10087,3766.92,0.0,18,Pending,0
CLM-10078,POL-10090,1144.65,1047.09,34,Approved,0
CLM-10079,POL-10090,2498.35,2311.69,7,Approved,0
CLM-10080,POL-10090,3755.34,2856.95,48,Approved,0
CLM-10081,POL-10092,2613.02,0.0,28,Pending,0
CLM-10082,POL-10093,4483.06,3477.09,1,Approved,0
CLM-10083,POL-10096,2840.58,2090.42,21,Approved,0
CLM-10084,POL-10097,1380.03,0.0,66,Pending,0
CLM-10085,POL-10098,1695.79,1384.01,30,Approved,0
CLM-10086,POL-10100,1457.12,1167.98,21,Approved,0
CLM-10087,POL-10101,1560.53,0.0,24,Rejected,0
CLM-10088,POL-10102,4291.85,0.0,7,Rejected,0
CLM-10089,POL-10102,929.33,0.0,4,Pending,0
CLM-10090,POL-10103,633.84,515.16,4,Approved,0
CLM-10091,POL-10104,2604.08,2602.94,14,Approved,0
CLM-10092,POL-10104,2938.72,0.0,42,Pending,0
CLM-10093,POL-10104,4626.81,3207.17,35,Approved,0
CLM-10094,POL-10105,4367.86,3957.35,9,Approved,0
CLM-10095,POL-10105,1523.62,0.0,18,Rejected,0
CLM-10096,POL-10105,378.83,254.78,21,Approved,0
CLM-10097,POL-10107,3888.48,3043.47,5,Approved,0
CLM-10098,POL-10109,4118.78,2547.17,39,Approved,0
CLM-10099,POL-10109,1227.58,0.0,27,Rejected,0
CLM-10100,POL-10109,1502.72,0.0,8,Rejected,0
CLM-10101,POL-10110,4795.65,4563.92,2,Approved,0
CLM-10102,POL-10110,248.0,187.8,31,Approved,0
CLM-10103,POL-10111,3521.24,0.0,22,Rejected,0
CLM-10104,POL-10111,4147.47,3749.2,45,Approved,0
CLM-10105,POL-10113,1990.24,1762.58,27,Approved,0
CLM-10106,POL-10114,2576.63,0.0,15,Pending,0
CLM-10107,POL-10115,4644.27,4454.69,10,Approved,0
CLM-10108,POL-10115,3174.94,2208.27,20,Approved,0
CLM-10109,POL-10115,1850.63,1581.78,38,Approved,0
CLM-10110,POL-10118,3459.58,2732.73,30,Approved,0
CLM-10111,POL-10119,3459.86,3442.28,34,Approved,0
CLM-10112,POL-10121,220.58,0.0,20,Pending,0
CLM-10113,POL-10122,4735.01,0.0,13,Rejected,0
CLM-10114,POL-10123,2811.46,1697.6,27,Approved,0
CLM-10115,POL-10123,4512.12,0.0,2,Pending,0
CLM-10116,POL-10123,2753.57,2718.54,37,Approved,0
CLM-10117,POL-10124,1813.12,0.0,68,Rejected,1
CLM-10118,POL-10125,2531.17,2067.62,22,Approved,0
CLM-10119,POL-10125,2093.06,2021.52,41,Approved,0
CLM-10120,POL-10125,200.94,192.98,1,Approved,0
CLM-10121,POL-10130,4891.66,0.0,18,Pending,0
CLM-10122,POL-10130,1107.08,0.0,1,Rejected,0
CLM-10123,POL-10131,3687.31,3188.35,43,Approved,0
CLM-10124,POL-10133,1702.67,1106.44,42,Approved,0
CLM-10125,POL-10134,5708.06,0.0,70,Rejected,1
CLM-10126,POL-10135,1584.35,0.0,5,Pending,0
CLM-10127,POL-10136,2246.46,1580.14,21,Approved,0
CLM-10128,POL-10136,2497.07,0.0,32,Rejected,0
CLM-10129,POL-10136,2010.14,0.0,12,Rejected,0
CLM-10130,POL-10137,2451.69,0.0,1,Pending,0
CLM-10131,POL-10139,3845.54,0.0,25,Rejected,0
CLM-10132,POL-10141,2142.59,1327.41,25,Approved,0
CLM-10133,POL-10141,5566.72,0.0,56,Rejected,1
CLM-10134,POL-10142,4885.37,0.0,14,Pending,0
CLM-10135,POL-10142,495.7,481.77,28,Approved,0
CLM-10136,POL-10143,3095.08,2566.37,33,Approved,0
CLM-10137,POL-10144,3226.79,2250.99,16,Approved,0
CLM-10138,POL-10146,3417.69,0.0,31,Rejected,0
CLM-10139,POL-10147,4632.13,0.0,20,Pending,0
CLM-10140,POL-10148,674.74,451.75,15,Approved,0
CLM-10141,POL-10148,416.7,289.98,23,Approved,0
CLM-10142,POL-10149,4615.63,0.0,34,Rejected,0
CLM-10143,POL-10150,3623.05,0.0,7,Pending,0
CLM-10144,POL-10150,3856.88,3792.37,53,Approved,0
CLM-10145,POL-10150,2322.56,2273.35,1,Approved,0
CLM-10146,POL-10151,2079.5,0.0,60,Rejected,0
CLM-10147,POL-10152,1273.68,0.0,42,Rejected,0
CLM-10148,POL-10153,13804.0,0.0,74,Rejected,1
CLM-10149,POL-10154,3042.56,1858.34,5,Approved,0
CLM-10150,POL-10159,2729.79,0.0,34,Pending,0
CLM-10151,POL-10161,637.83,466.75,24,Approved,0
CLM-10152,POL-10162,2052.46,1750.79,32,Approved,0
CLM-10153,POL-10163,2703.41,1647.56,3,Approved,0
CLM-10154,POL-10164,538.68,398.16,7,Approved,0
CLM-10155,POL-10165,3334.82,2865.94,9,Approved,0
CLM-10156,POL-10165,14346.97,0.0,52,Rejected,1
CLM-10157,POL-10165,4891.62,3131.33,24,Approved,0
CLM-10158,POL-10166,6815.55,0.0,73,Rejected,1
CLM-10159,POL-10168,4295.94,3496.7,32,Approved,0
CLM-10160,POL-10168,2654.09,2182.27,11,Approved,0
CLM-10161,POL-10170,1791.72,1162.49,25,Approved,0
CLM-10162,POL-10171,3455.27,2508.3,1,Approved,0
CLM-10163,POL-10172,3833.31,2509.06,44,Approved,0
CLM-10164,POL-10173,364.58,324.77,16,Approved,0
CLM-10165,POL-10173,5373.49,0.0,49,Rejected,1
