age,gender,policy_type,premium_amount,sales_channel,tenure_months,is_churned,total_claim_amount,total_claim_amount_settled,avg_settlement_time,num_claims,is_rejected,has_claim,claim_freq,monthly_premium,age_policy,tenure_claim,settlement_ratio,profitability,suspicious,fast_settlement,delay_risk,rejection_ratio,claim_to_premium,claim_severity
56,Female,Property,838.37,Broker,30,0,4263.25,4186.27,24.0,1.0,0.0,1,0.03333333333333333,27.945666666666668,46948.72,30.0,0.9819433530757052,-3347.9000000000005,1,0,24.0,0.0,5.085165261161539,4263.25
69,Female,Motor,201.6,Broker,59,0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.4169491525423727,13910.4,0.0,0.0,201.6,0,1,0.0,0.0,0.0,0.0
46,Male,Motor,1620.48,Broker,9,0,4726.51,2867.99,1.0,1.0,0.0,1,0.1111111111111111,180.05333333333334,74542.08,9.0,0.6067880952330578,-1247.5099999999998,0,1,1.0,0.0,2.9167345477883098,4726.51
32,Male,Health,696.49,Broker,92,0,2364.98,2058.7,14.0,1.0,0.0,1,0.010869565217391304,7.57054347826087,22287.68,92.0,0.8704936193963585,-1362.2099999999998,0,0,14.0,0.0,3.395569211331103,2364.98
60,Male,Health,829.97,Broker,68,0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.205441176470588,49798.200000000004,0.0,0.0,829.97,0,1,0.0,0.0,0.0,0.0
25,Male,Property,1949.95,Broker,39,0,0.0,0.0,0.0,0.0,0.0,0,0.0,49.99871794871795,48748.75,0.0,0.0,1949.95,0,1,0.0,0.0,0.0,0.0
38,Female,Property,885.33,Online,81,0,10384.14,4465.39,30.666666666666668,3.0,0.0,1,0.037037037037037035,10.93,33642.54,243.0,0.4300202038878521,-3580.0600000000004,1,0,92.0,0.0,11.729117956016399,3461.3799999999997
56,Male,Motor,681.27,Direct,11,0,4998.37,4551.68,18.0,1.0,0.0,1,0.09090909090909091,61.93363636363636,38151.119999999995,11.0,0.9106328663144185,-3870.4100000000003,0,0,18.0,0.0,7.336841487222394,4998.37
75,Male,Health,505.74,Bank,2,1,7030.64,5927.91,31.333333333333332,3.0,0.0,1,1.5,252.87,37930.5,6.0,0.8431536815993992,-5422.17,1,0,94.0,0.0,13.901688614703207,2343.5466666666666
36,Male,Health,1959.66,Broker,23,0,4614.93,3139.34,22.0,1.0,0.0,1,0.043478260869565216,85.20260869565217,70547.76000000001,23.0,0.6802573386811934,-1179.68,1,0,22.0,0.0,2.3549646367226966,4614.93
40,Female,Property,411.3,Direct,63,0,1984.19,1576.3,19.0,1.0,0.0,1,0.015873015873015872,6.5285714285714285,16452.0,63.0,0.7944299689041876,-1165.0,0,0,19.0,0.0,4.824191587648918,1984.19
28,Male,Health,1189.01,Broker,114,1,1718.85,0.0,1.0,1.0,0.0,1,0.008771929824561403,10.429912280701755,33292.28,114.0,0.0,1189.01,0,1,1.0,0.0,1.445614418718093,1718.85
28,Male,Property,1316.63,Direct,22,1,1603.24,0.0,15.0,1.0,1.0,1,0.045454545454545456,59.846818181818186,36865.64,22.0,0.0,1316.63,0,0,15.0,1.0,1.2176845431138588,1603.24
41,Female,Health,1749.74,Broker,61,0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.684262295081968,71739.34,0.0,0.0,1749.74,0,1,0.0,0.0,0.0,0.0
70,Female,Motor,1619.88,Bank,26,0,1492.95,1166.19,1.0,1.0,0.0,1,0.038461538461538464,62.30307692307693,113391.6,26.0,0.7811313171907968,453.69000000000005,0,1,1.0,0.0,0.9216423438773242,1492.95
53,Male,Health,2045.73,Online,12,0,3181.73,0.0,2.0,1.0,1.0,1,0.08333333333333333,170.4775,108423.69,12.0,0.0,2045.73,0,1,2.0,1.0,1.5553029969741852,3181.73
57,Male,Property,207.4,Direct,32,0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.48125,11821.800000000001,0.0,0.0,207.4,0,1,0.0,0.0,0.0,0.0
41,Male,Property,811.46,Broker,9,1,670.04,0.0,30.0,1.0,1.0,1,0.1111111111111111,90.16222222222223,33269.86,9.0,0.0,811.46,0,0,30.0,1.0,0.8257215389544771,670.04
20,Male,Motor,772.32,Online,107,1,6824.86,5010.18,23.666666666666668,3.0,1.0,1,0.028037383177570093,7.217943925233645,15446.400000000001,321.0,0.7341073663049499,-4237.860000000001,1,0,71.0,0.3333333333333333,8.836829293557074,2274.9533333333334
39,Male,Health,450.44,Online,69,1,1896.64,1252.26,4.0,1.0,0.0,1,0.014492753623188406,6.528115942028985,17567.16,69.0,0.6602518137337607,-801.8199999999999,0,1,4.0,0.0,4.210638486812894,1896.64
70,Female,Motor,794.03,Broker,90,0,3517.6,3380.44,14.0,1.0,0.0,1,0.011111111111111112,8.822555555555555,55582.1,90.0,0.9610075051171254,-2586.41,0,0,14.0,0.0,4.430059317658023,3517.6
19,Female,Motor,843.44,Online,71,0,10315.79,6753.33,16.0,3.0,0.0,1,0.04225352112676056,11.87943661971831,16025.36,213.0,0.6546595074153312,-5909.889999999999,0,0,48.0,0.0,12.230615100066395,3438.596666666667
41,Male,Motor,1352.52,Bank,93,0,0.0,0.0,0.0,0.0,0.0,0,0.0,14.543225806451613,55453.32,0.0,0.0,1352.52,0,1,0.0,0.0,0.0,0.0
61,Male,Motor,1692.89,Online,33,0,1292.81,780.35,33.0,1.0,0.0,1,0.030303030303030304,51.299696969696974,103266.29000000001,33.0,0.6036076453616541,912.5400000000001,0,0,33.0,0.0,0.7636704097726372,1292.81
47,Female,Property,1014.64,Bank,24,0,7783.51,6959.610000000001,18.0,3.0,0.0,1,0.125,42.276666666666664,47688.08,72.0,0.8941480129144821,-5944.97,0,0,54.0,0.0,7.671203579594733,2594.5033333333336
55,Male,Motor,1826.73,Bank,89,1,0.0,0.0,0.0,0.0,0.0,0,0.0,20.52505617977528,100470.15,0.0,0.0,1826.73,0,1,0.0,0.0,0.0,0.0
19,Male,Property,906.8,Bank,95,0,0.0,0.0,0.0,0.0,0.0,0,0.0,9.545263157894736,17229.2,0.0,0.0,906.8,0,1,0.0,0.0,0.0,0.0
38,Male,Motor,796.68,Direct,93,0,2442.88,2056.9700000000003,8.5,2.0,0.0,1,0.021505376344086023,8.566451612903226,30273.839999999997,186.0,0.8420266243122873,-1260.2900000000004,0,0,17.0,0.0,3.066325249786615,1221.44
50,Male,Motor,1398.85,Online,69,0,0.0,0.0,0.0,0.0,0.0,0,0.0,20.2731884057971,69942.5,0.0,0.0,1398.85,0,1,0.0,0.0,0.0,0.0
29,Male,Motor,156.92,Online,38,0,4732.08,2997.6,8.0,1.0,0.0,1,0.02631578947368421,4.129473684210526,4550.679999999999,38.0,0.6334635086473601,-2840.68,0,0,8.0,0.0,30.15600305888351,4732.08
75,Female,Motor,291.49,Online,109,1,4722.39,0.0,17.0,1.0,0.0,1,0.009174311926605505,2.6742201834862387,21861.75,109.0,0.0,291.49,0,0,17.0,0.0,16.200864523654328,4722.39
39,Male,Motor,1103.13,Bank,11,1,3255.89,2654.45,33.0,1.0,0.0,1,0.09090909090909091,100.28454545454547,43022.07000000001,11.0,0.8152763146175086,-1551.3199999999997,1,0,33.0,0.0,2.9515016362532065,3255.89
61,Male,Motor,2362.99,Broker,32,0,986.36,727.63,35.0,1.0,0.0,1,0.03125,73.8434375,144142.38999999998,32.0,0.7376921205239466,1635.3599999999997,0,0,35.0,0.0,0.4174203022441907,986.36
42,Male,Health,1831.63,Direct,64,0,2679.49,1695.48,6.0,1.0,0.0,1,0.015625,28.61921875,76928.46,64.0,0.6327622047479186,136.1500000000001,0,1,6.0,0.0,1.4628991663163409,2679.49
