customer_id,age,gender,policy_id,policy_type,premium_amount,sales_channel,tenure_months,is_churned
CUST-10001,56,Female,POL-10001,Property,838.37,Broker,30,0
CUST-10002,69,Female,POL-10002,Motor,201.6,Broker,59,0
CUST-10003,46,Male,POL-10003,Motor,1620.48,Broker,9,0
CUST-10004,32,Male,POL-10004,Health,696.49,Broker,92,0
CUST-10005,60,Male,POL-10005,Health,829.97,Broker,68,0
CUST-10006,25,Male,POL-10006,Property,1949.95,Broker,39,0
CUST-10007,38,Female,POL-10007,Property,885.33,Online,81,0
CUST-10008,56,Male,POL-10008,Motor,681.27,Direct,11,0
CUST-10009,75,Male,POL-10009,Health,505.74,Bank,2,1
CUST-10010,36,Male,POL-10010,Health,1959.66,Broker,23,0
CUST-10011,40,Female,POL-10011,Property,411.3,Direct,63,0
CUST-10012,28,Male,POL-10012,Health,1189.01,Broker,114,1
CUST-10013,28,Male,POL-10013,Property,1316.63,Direct,22,1
CUST-10014,41,Female,POL-10014,Health,1749.74,Broker,61,0
CUST-10015,70,Female,POL-10015,Motor,1619.88,Bank,26,0
CUST-10016,53,Male,POL-10016,Health,2045.73,Online,12,0
CUST-10017,57,Male,POL-10017,Property,207.4,Direct,32,0
CUST-10018,41,Male,POL-10018,Property,811.46,Broker,9,1
CUST-10019,20,Male,POL-10019,Motor,772.32,Online,107,1
CUST-10020,39,Male,POL-10020,Health,450.44,Online,69,1
CUST-10021,70,Female,POL-10021,Motor,794.03,Broker,90,0
CUST-10022,19,Female,POL-10022,Motor,843.44,Online,71,0
CUST-10023,41,Male,POL-10023,Motor,1352.52,Bank,93,0
CUST-10024,61,Male,POL-10024,Motor,1692.89,Online,33,0
CUST-10025,47,Female,POL-10025,Property,1014.64,Bank,24,0
CUST-10026,55,Male,POL-10026,Motor,1826.73,Bank,89,1
CUST-10027,19,Male,POL-10027,Property,906.8,Bank,95,0
CUST-10028,38,Male,POL-10028,Motor,796.68,Direct,93,0
CUST-10029,50,Male,POL-10029,Motor,1398.85,Online,69,0
CUST-10030,29,Male,POL-10030,Motor,156.92,Online,38,0
CUST-10031,75,Female,POL-10031,Motor,291.49,Online,109,1
CUST-10032,39,Male,POL-10032,Motor,1103.13,Bank,11,1
CUST-10033,61,Male,POL-10033,Motor,2362.99,Broker,32,0
CUST-10034,42,Male,POL-10034,Health,1831.63,Direct,64,0
CUST-10035,66,Female,POL-10035,Motor,311.5,Broker,72,0
CUST-10036,44,Female,POL-10036,Motor,2131.16,Broker,20,0
CUST-10037,59,Female,POL-10037,Motor,1857.52,Broker,34,0
CUST-10038,45,Female,POL-10038,Property,1566.27,Online,111,0
CUST-10039,33,Male,POL-10039,Property,2068.7,Broker,42,0
CUST-10040,32,Female,POL-10040,Health,1069.86,Online,8,1
CUST-10041,64,Male,POL-10041,Motor,631.6,Online,66,0
CUST-10042,68,Male,POL-10042,Motor,1328.86,Broker,21,0
CUST-10043,61,Female,POL-10043,Property,1417.22,Broker,79,0
CUST-10044,72,Female,POL-10044,Motor,1391.98,Online,70,1
CUST-10045,69,Female,POL-10045,Motor,1456.18,Online,5,0
CUST-10046,74,Female,POL-10046,Motor,2376.89,Bank,118,0
CUST-10047,20,Female,POL-10047,Motor,2265.39,Bank,118,1
CUST-10048,54,Male,POL-10048,Motor,2201.72,Bank,67,0
CUST-10049,68,Female,POL-10049,Health,2023.4,Online,107,0
CUST-10050,24,Female,POL-10050,Motor,2364.23,Bank,43,0
CUST-10051,38,Female,POL-10051,Health,336.39,Bank,16,0
CUST-10052,26,Male,POL-10052,Motor,736.3,Bank,99,1
CUST-10053,56,Female,POL-10053,Motor,1288.13,Broker,73,1
CUST-10054,35,Male,POL-10054,Property,2131.68,Bank,35,0
CUST-10055,21,Female,POL-10055,Motor,1312.4,Direct,83,1
CUST-10056,42,Female,POL-10056,Property,1895.28,Online,43,0
CUST-10057,31,Male,POL-10057,Health,433.5,Broker,110,0
CUST-10058,67,Female,POL-10058,Motor,705.79,Direct,98,1
CUST-10059,75,Male,POL-10059,Property,1856.26,Broker,39,0
CUST-10060,26,Male,POL-10060,Motor,495.36,Broker,10,1
CUST-10061,43,Male,POL-10061,Property,943.25,Broker,74,0
CUST-10062,70,Female,POL-10062,Motor,735.68,Bank,20,0
CUST-10063,19,Female,POL-10063,Property,939.67,Broker,1,1
CUST-10064,37,Female,POL-10064,Motor,1799.98,Direct,6,1
CUST-10065,45,Male,POL-10065,Health,982.83,Broker,53,0
CUST-10066,64,Female,POL-10066,Health,1432.63,Online,46,0
CUST-10067,24,Male,POL-10067,Property,339.84,Broker,66,1
CUST-10068,61,Female,POL-10068,Property,2032.04,Broker,38,0
CUST-10069,25,Male,POL-10069,Property,987.73,Direct,33,0
CUST-10070,64,Male,POL-10070,Property,1656.48,Online,67,0
CUST-10071,52,Male,POL-10071,Motor,1840.94,Broker,100,0
CUST-10072,31,Female,POL-10072,Motor,603.19,Broker,77,0
CUST-10073,34,Male,POL-10073,Motor,2223.22,Broker,35,0
CUST-10074,53,Male,POL-10074,Motor,1578.94,Bank,79,1
CUST-10075,67,Male,POL-10075,Motor,1128.94,Direct,45,0
CUST-10076,57,Male,POL-10076,Health,537.6,Online,22,0
CUST-10077,21,Male,POL-10077,Motor,2361.52,Broker,107,0
CUST-10078,19,Male,POL-10078,Health,1912.16,Direct,68,0
CUST-10079,23,Female,POL-10079,Motor,599.26,Broker,17,0
CUST-10080,71,Female,POL-10080,Motor,910.51,Broker,5,1
CUST-10081,59,Male,POL-10081,Health,2043.22,Direct,85,1
CUST-10082,21,Female,POL-10082,Health,1769.63,Direct,57,0
CUST-10083,71,Female,POL-10083,Health,1937.88,Broker,88,0
CUST-10084,46,Male,POL-10084,Health,1158.88,Online,95,0
CUST-10085,35,Male,POL-10085,Motor,1819.54,Bank,40,0
CUST-10086,43,Male,POL-10086,Health,1027.58,Direct,117,0
CUST-10087,61,Female,POL-10087,Motor,607.03,Online,120,0
CUST-10088,51,Male,POL-10088,Motor,1618.42,Bank,30,0
CUST-10089,27,Female,POL-10089,Motor,2442.43,Bank,42,0
CUST-10090,53,Male,POL-10090,Motor,845.44,Direct,7,1
CUST-10091,31,Female,POL-10091,Motor,1206.33,Online,113,0
CUST-10092,48,Male,POL-10092,Property,1717.6,Broker,71,0
CUST-10093,65,Male,POL-10093,Property,1399.62,Online,91,1
CUST-10094,32,Female,POL-10094,Motor,2124.23,Broker,88,0
CUST-10095,25,Female,POL-10095,Motor,1928.18,Broker,19,1
CUST-10096,31,Female,POL-10096,Motor,239.91,Direct,41,0
CUST-10097,40,Female,POL-10097,Motor,2496.21,Broker,120,0
CUST-10098,74,Female,POL-10098,Property,1905.77,Online,34,0
CUST-10099,57,Female,POL-10099,Motor,2173.37,Direct,22,0
CUST-10100,38,Male,POL-10100,Health,1662.87,Online,52,0
CUST-10101,33,Female,POL-10101,Motor,2155.08,Broker,115,0
CUST-10102,62,Male,POL-10102,Property,369.72,Broker,91,0
CUST-10103,35,Male,POL-10103,Motor,934.57,Online,6,0
CUST-10104,64,Female,POL-10104,Health,2203.41,Bank,74,0
CUST-10105,70,Male,POL-10105,Motor,583.97,Broker,109,1
CUST-10106,41,Female,POL-10106,Health,287.78,Broker,95,0
CUST-10107,43,Female,POL-10107,Motor,1991.49,Bank,25,0
CUST-10108,42,Male,POL-10108,Motor,2105.17,Broker,66,0
CUST-10109,62,Male,POL-10109,Property,490.37,Bank,10,1
CUST-10110,58,Female,POL-10110,Property,2150.43,Online,74,1
CUST-10111,46,Female,POL-10111,Property,1748.24,Direct,26,0
CUST-10112,32,Male,POL-10112,Health,1348.2,Direct,5,0
CUST-10113,62,Male,POL-10113,Property,2092.6,Broker,86,1
CUST-10114,18,Male,POL-10114,Motor,1106.2,Direct,68,0
CUST-10115,42,Male,POL-10115,Motor,565.59,Bank,119,0
CUST-10116,24,Female,POL-10116,Motor,783.65,Online,98,0
CUST-10117,26,Female,POL-10117,Health,1312.39,Online,71,0
CUST-10118,41,Female,POL-10118,Motor,1375.19,Online,50,0
CUST-10119,18,Female,POL-10119,Motor,2033.39,Broker,17,0
CUST-10120,61,Male,POL-10120,Health,1999.25,Online,11,1
CUST-10121,25,Male,POL-10121,Property,1495.28,Direct,53,1
CUST-10122,41,Female,POL-10122,Motor,1973.89,Online,50,0
CUST-10123,28,Female,POL-10123,Motor,560.26,Direct,8,1
CUST-10124,68,Female,POL-10124,Motor,220.15,Online,92,0
CUST-10125,34,Female,POL-10125,Motor,2196.72,Bank,108,0
CUST-10126,25,Female,POL-10126,Motor,281.33,Direct,120,1
CUST-10127,52,Female,POL-10127,Health,692.05,Broker,97,0
CUST-10128,52,Female,POL-10128,Health,1768.77,Online,116,0
